% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar)
86%,9. Fomento productivo y emprendimiento,99%,Potenciar redes de emprendedoras/es locales,"Fomentar la vinculación entre emprendedoras/es locales mediante una plataforma digital, con la finalidad de crear una red de desarrollo económico comunal, social y sustentable.",100%,"A la fecha se cuenta con una Red de Emprendimiento que agrupa a más de 700 emprendedoras/es locales. Se realizan de manera permanente encuentros y ferias de emprendimientos, y se lanzó la plataforma digital https://sanjoaquin.yoi.cl ",Puesta en marcha de la plataforma digital con la Red de Emprendimiento,10%,10%,90%,,9.36,9
86%,9. Fomento productivo y emprendimiento,99%,Potenciar redes de emprendedoras/es locales,"Fomentar la vinculación entre emprendedoras/es locales mediante una plataforma digital, con la finalidad de crear una red de desarrollo económico comunal, social y sustentable.",100%,"A la fecha se cuenta con una Red de Emprendimiento que agrupa a más de 700 emprendedoras/es locales. Se realizan de manera permanente encuentros y ferias de emprendimientos, y se lanzó la plataforma digital https://sanjoaquin.yoi.cl ",Seguimiento y evaluación de iniciativa,10%,10%,100%,,9.37,9
86%,10. Seguridad Comunitaria,100%,Creación de oficina de promoción y orientación de víctimas de delito,"Implementar la Oficina de Promoción y Orientación de Víctimas de Delito, a fin de orientar y/o representar a las víctimas de delito para que puedan ejercer sus derechos y tengan acceso a la justicia.",100%,"Desde Octubre de 2021 funciona la Oficina de Protección y Acompañamiento a Víctimas de Delitos, se han atendido/asesorado/presentado xxx",Levantamiento de información sobre los delitos de connotación social en la comuna,20%,20%,20%,1,10.1,10
86%,10. Seguridad Comunitaria,100%,Creación de oficina de promoción y orientación de víctimas de delito,"Implementar la Oficina de Promoción y Orientación de Víctimas de Delito, a fin de orientar y/o representar a las víctimas de delito para que puedan ejercer sus derechos y tengan acceso a la justicia.",100%,"Desde Octubre de 2021 funciona la Oficina de Protección y Acompañamiento a Víctimas de Delitos, se han atendido/asesorado/presentado xxx",Definición del ámbito de acción de la oficina de promoción y orientación de víctimas de delito,20%,20%,40%,,10.2,10
86%,10. Seguridad Comunitaria,100%,Creación de oficina de promoción y orientación de víctimas de delito,"Implementar la Oficina de Promoción y Orientación de Víctimas de Delito, a fin de orientar y/o representar a las víctimas de delito para que puedan ejercer sus derechos y tengan acceso a la justicia.",100%,"Desde Octubre de 2021 funciona la Oficina de Protección y Acompañamiento a Víctimas de Delitos, se han atendido/asesorado/presentado xxx",Creación de la oficina mediante decreto y contratación de equipo,20%,20%,60%,,10.3,10
86%,10. Seguridad Comunitaria,100%,Creación de oficina de promoción y orientación de víctimas de delito,"Implementar la Oficina de Promoción y Orientación de Víctimas de Delito, a fin de orientar y/o representar a las víctimas de delito para que puedan ejercer sus derechos y tengan acceso a la justicia.",100%,"Desde Octubre de 2021 funciona la Oficina de Protección y Acompañamiento a Víctimas de Delitos, se han atendido/asesorado/presentado xxx",Puesta en marcha de la oficina,30%,30%,90%,,10.4,10
86%,10. Seguridad Comunitaria,100%,Creación de oficina de promoción y orientación de víctimas de delito,"Implementar la Oficina de Promoción y Orientación de Víctimas de Delito, a fin de orientar y/o representar a las víctimas de delito para que puedan ejercer sus derechos y tengan acceso a la justicia.",100%,"Desde Octubre de 2021 funciona la Oficina de Protección y Acompañamiento a Víctimas de Delitos, se han atendido/asesorado/presentado xxx",Evaluación y seguimiento,10%,10%,100%,,10.5,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,1,10.6,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.7,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.8,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.9,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.10,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.11,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.12,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.13,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.14,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.15,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.16,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.17,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.18,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.19,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.20,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.21,10
86%,10. Seguridad Comunitaria,100%,,,,,,,,0%,,10.22,10
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.","Mejoras a la infraestructura del Centro Ecológico Demostrativo ubicado en el Parque Isabel Riquelme (ampliación huertos, vivero, entre otros).",10%,10%,10%,1,11.1,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.","Mejoras a la muestra ecológica itinerante, destinada a educación ambiental",10%,10%,20%,,11.2,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.",Aumento anual del presupuesto destinado a infraestructura y educación ambiental,15%,15%,35%,,11.3,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.",Aumento de profesionales que brindan apoyo a la ejecución de proyectos ambientales,10%,10%,45%,,11.4,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.","Desarrollo de eventos comunales ambientales destinados a educación y promoción ambiental (ecoferia comunal, día mundial del medio ambiente, We Tripantu, fiesta de la primavera, fiesta de la cosecha, entre otros)",10%,10%,55%,,11.5,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.",Promoción de la educación ambiental a través de la feria itinerante en operativos en terreno de los programas gobierno en tu barrio y verano en tu barrio,15%,15%,70%,,11.6,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.","Educación ambiental en los barrios, llevando la muestra ecológica itinerante a los barrios, de manera mensual",15%,15%,85%,,11.7,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.",Elaboración del plan de educación ambiental 2024,5%,5%,90%,,11.8,11
86%,11. Medio Ambiente y cambio climático,83%,Destinar más recursos para infraestructura y educación ambiental,Mejorar la infraestructura medioambiental de la comuna y desarrollar un programa de educación ambiental.,90%,"El Programa de educación ambiental se encuentra formalizado y en funcionamiento. Se han realizado mejoras a infraestructura ambiental y muestras ecológicas, tales como el Centro Ecológico del Parque Isabel Riquelme, muestra ecológica itinerante, feria itinerante, huertos del Espacio Mujer y otros que se encuentran en sedes vecinales.","Nuevas mejoras al Centro Ecológico del Parque Isabel Riquelme (pileta viva y riego ecológico), construcción y mantención de huertas del Espacio Mujer, de huertas comunitarias a solicitud de Juntas de Vecino y en otros lugares emblemáticos.",10%,0%,90%,,11.9,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 92,Levantamiento de solicitudes y necesidades de la comunidad respecto a puntos de reciclaje,20%,20%,20%,1,11.10,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 93,Planificación de la instalación de futuros puntos de reciclaje,10%,10%,30%,,11.11,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 94,Coordinación con la comunidad del territorio donde se instalarán puntos de reciclaje ,10%,10%,40%,,11.12,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 95,Instalación de los puntos de reciclaje,20%,20%,60%,,11.13,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 96,Capacitación a la comunidad en el uso y operatividad de los puntos,10%,10%,70%,,11.14,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 97,Evaluación del estado de los puntos de reciclaje,10%,10%,80%,,11.15,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de puntos verdes y puntos limpios accesibles a la comunidad,"Aumentar los puntos de reciclaje disponibles a la comunidad, promoviendo el reciclaje y permitiendo tener una comuna más limpia y sustentable.",100%,Se ha aumentado la cantidad de puntos de reciclaje de 44 a 98,Mantención de los puntos de reciclaje instalados,20%,20%,100%,,11.16,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Programación anual de operativos de fiscalización,10%,10%,10%,1,11.17,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Recepción permanente de denuncias de parte de la comunidad,10%,10%,20%,,11.18,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Coordinación para realizar fiscalizaciones (tanto programadas como ante denuncias) ,10%,10%,30%,,11.19,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.","Ejecución de operativos de fiscalización, en materia ambiental, de obras, de patentes y de seguridad.",30%,30%,60%,,11.20,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Coordinación y/o derivación con otros organismos públicos cuando corresponde,10%,10%,70%,,11.21,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Seguimiento a empresas fiscalizadas,10%,10%,80%,,11.22,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Elaboración y difusión del protocolo de buenas prácticas ambientales y de convivencia. ,10%,10%,90%,,11.23,11
86%,11. Medio Ambiente y cambio climático,83%,Plan de descontaminación que involucre fiscalización a empresas en materia ambiental y de recolección de residuos,"Elaborar un plan de descontaminación que incluya fiscalización ambiental y respuesta ante denuncias, asegurando el cumplimiento de la normativa ambiental y permitiendo tener una comuna más limpia y sustentable.",90%,"Desde junio de 2022 se realizan jornadas de fiscalización ambiental, tanto programadas como aquellas que se realizan ante denuncias ciudadanas. Durante 2023, se realizaron 148 fiscalizaciones por operativos y más de 100 fiscalizaciones por denuncias. Además, se está elaborando el protocolo de buenas prácticas en materia ambiental.",Publicación de ordenanza municipal ambiental,10%,0%,90%,,11.24,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.",Diagnóstico del estado general de las áreas verdes de la comuna,10%,10%,10%,1,11.25,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.",Licitación para la mantención de las áreas verdes,10%,10%,20%,,11.26,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.",Mantención de áreas verdes de la comuna de manera permanente,15%,15%,35%,,11.27,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.","Ejecución del programa ""Reforestación Participativa"", que considera plantación de árboles en toda la comuna",15%,15%,50%,,11.28,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.","Ejecución del programa ""Apadrina tu árbol"", que busca reforestar espacios en conjunto con los vecinos/as",10%,10%,60%,,11.29,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.","Recuperación, reparación y mantención de espacios públicos como plazas, platabandas, corredores, entre otros. Incluye mejoramiento y reposición de mobiliario (juegos infantiles, piso de caucho, accesibilidad universal, entre otros)",15%,15%,75%,,11.30,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.","Aumento de mantención de áreas verdes de 128.000 metros cuadrados (mantención municipal y ampliación de contrato) en platabandas, plazas, parques, jardines, entre otros.",15%,15%,90%,,11.31,11
86%,11. Medio Ambiente y cambio climático,83%,Aumento de calidad y cantidad de areas verdes ,"Mejorar y aumentar las áreas verdes de la comuna, brindando más y mejores espacios a los vecinos/as y una comuna más verde y sustentable.",90%,"Aumento de más 130.000 metros cuadradrados de áreas verdes en la comuna (parques; plazas; jardines; platabandas; entre otros), que reciben mantención permante del municipio (llegando a un total de 617.000 m2 de áreas verdes).
Más de 2.000 nuevos árboles plantados en los programas de reforestación participativa y apadrina tu árbol.","Ampliación de áreas verdes en proyectos en ejecución (Parque del Amor, Parque La Castrina, Avenida 1° de Mayo, entre otros)",10%,0%,90%,,11.32,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.","Levantamiento de información y preparación para entrada en vigencia de la Ley 20.020 (Ley REP), que establece el marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje.",10%,10%,10%,1,11.33,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.",Gestión de recursos para ingresar como municipio al sistema de gestión.,20%,20%,30%,,11.34,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.",Formalización de convenios con recicladores de base.,10%,10%,40%,,11.35,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.","Elaboración de plan de acción respecto a rutas, operatividad, logistica, educación ambiental, entre otros.",20%,20%,60%,,11.36,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.","Ingreso al sistema de gestión de residuos de envases y embalajes, implementación de Ley REP.",10%,10%,70%,,11.37,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.",Realización de estudio de caracterización de residuos,10%,10%,80%,,11.38,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.",Supervisión de los convenios y de la implementación de la Ley REP.,10%,5%,85%,,11.39,11
86%,11. Medio Ambiente y cambio climático,83%,Alianza público-privada para residuos y reciclaje,"Coordinar convenios en alianza público-privada para mejorar la gestión de residuos y fomentar el reciclaje, permitiendo tener una comuna más limpia y sustentable.",90%,"Ingreso al sistema de gestión, con la entrada en vigencia de la Ley de ""Responsabilidad Extendida del Productor y fomento al reciclaje"". Además se realizan alianzas con privados como: reciclaje de agua residual, gestión de puntos verdes, gestión de residuos como aceites y neumáticos.","Diversificación de la gestión de residuos no incluidos en la Ley REP (pilas, neumáticos, aceites)",10%,5%,90%,,11.40,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Planificación anual y estrategia territorial del programa de retiro de escombros y microbasurales ,10%,10%,10%,1,11.41,11
