% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,N° de iniciativas,N° >80%,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),>80% (no considerar)
20%,3. Mujer y Equidad de Género,36%,Aumentar programas de emprendimiento y autonomía económica.,Pendiente,30%,Pendiente,"Lanzamiento de política y levantamiento de actores claves para el impulso de la política pública en el territorio, asociaciones gremiales o cámara de comercio, detección de barrios comerciales e industriales, detección de polos de desarrollo.",20%,0%,30%,109,1,,3.37,3,0
20%,3. Mujer y Equidad de Género,36%,Aumentar programas de emprendimiento y autonomía económica.,Pendiente,30%,Pendiente,Presentación de documento y carta Gantt con acciones referidas a la nueva política y estrategias de trabajo hacia el 2028,20%,0%,30%,109,1,,3.38,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,Levantar opciones de ubicación para el nuevo Espacio Mujeres.,5%,0%,0%,109,1,1,3.39,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,"Evaluar normativas urbanísticas, restricciones de uso de suelo y viabilidad del traslado.",10%,0%,0%,109,1,,3.40,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,"Establecer lineamientos sobre los servicios que ofrecerá el nuevo Espacio Mujeres, considerando las actuales y nuevas prestaciones.",5%,0%,0%,109,1,,3.41,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,Gestionar reuniones con organizaciones de mujeres y entidades vinculadas para validar el proyecto.,15%,0%,0%,109,1,,3.42,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,Formalizar la transferencia o comodato del espacio seleccionado para la implementación.,15%,0%,0%,109,1,,3.43,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,Elaborar y postular proyecto para la remodelación o construcción del espacio.,20%,0%,0%,109,1,,3.44,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,Asignación de recursos de parte de la entidad financiera,10%,0%,0%,109,1,,3.45,3,0
20%,3. Mujer y Equidad de Género,36%,Implementar nuevo Espacio Mujeres al norte de Carlos Valdovinos.,Pendiente,0%,Pendiente,"Licitación, contratación, ejecución e implementación del proyecto postulado.",20%,0%,0%,109,1,,3.46,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Trabajo colaborativo con otras direcciones municipales para fortalecer factores protectores al fenómeno de la violencia.,10%,10%,10%,109,1,1,3.47,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Trabajo colaborativo con otras instituciones para la prevención y promoción del derecho a una vida libre de violencia,20%,10%,20%,109,1,,3.48,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Trabajo colaborativo con Carabineros para resguardar la seguridad de casos VIF alto riesgo,20%,10%,30%,109,1,,3.49,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Implementación de mesas de trabajo intersectoriales: Mesa de Género y Mesa de Mujeres.,20%,10%,40%,109,1,,3.50,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Diseño y ejecución de una estrategia de trabajo e intervención en grupo para las usuarias del programa,20%,10%,50%,109,1,,3.51,3,0
20%,3. Mujer y Equidad de Género,36%,Fortalecer las redes de apoyo y seguimiento de casos de Violencia Intrafamiliar.,Pendiente,50%,Pendiente,Seguimiento y evaluación de la iniciativa,10%,0%,50%,109,1,,3.52,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar la dotación de la unidad de asistencia judicial y psicológica para mujeres para con ello, aumentar la cobertura.",Pendiente,70%,Pendiente,Habilitar estación de trabajo con muebles y equipos computacionales,10%,10%,10%,109,1,1,3.53,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar la dotación de la unidad de asistencia judicial y psicológica para mujeres para con ello, aumentar la cobertura.",Pendiente,70%,Pendiente,"Contratación de 2 psicólogas para primera atención, sesiones de acompañamiento y seguimiento de casos.",20%,20%,30%,109,1,,3.54,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar la dotación de la unidad de asistencia judicial y psicológica para mujeres para con ello, aumentar la cobertura.",Pendiente,70%,Pendiente,Contratación de 1 abogada para consultas legales de usuarios.,20%,20%,50%,109,1,,3.55,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar la dotación de la unidad de asistencia judicial y psicológica para mujeres para con ello, aumentar la cobertura.",Pendiente,70%,Pendiente,Entrega de asistencia judicial y psicológica para mujeres,40%,20%,70%,109,1,,3.56,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar la dotación de la unidad de asistencia judicial y psicológica para mujeres para con ello, aumentar la cobertura.",Pendiente,70%,Pendiente,Evaluación de la unidad de asistencia,10%,0%,70%,109,1,,3.57,3,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Elaboración de diagnóstico,10%,0%,0%,109,1,1,4.1,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Elaboración de proyecto ,10%,0%,0%,109,1,,4.2,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Postulación de proyecto para adquisición de ambulancias ,10%,0%,0%,109,1,,4.3,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Identificación de terreno/ espacio estructural de base de operación,10%,0%,0%,109,1,,4.4,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Elaboración de modelo operativo de la central,10%,0%,0%,109,1,,4.5,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Adjudicación del proyecto de ambulancias ,10%,0%,0%,109,1,,4.6,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Inicio de habilitación ,10%,0%,0%,109,1,,4.7,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Puesta en Marcha,10%,0%,0%,109,1,,4.8,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Estrategia comunicacional,10%,0%,0%,109,1,,4.9,4,0
20%,4. Salud,16%,Crear central de ambulancias comunal disponible para atender las necesidades comunales.,Pendiente,0%,Pendiente,Inauguración de Central de Ambulancias,10%,0%,0%,109,1,,4.10,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Elaboración de proyecto  de nuevo Centro de Salud Mental,10%,0%,0%,109,1,1,4.11,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Licitacion de obra,10%,0%,0%,109,1,,4.12,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Adjudicación,10%,0%,0%,109,1,,4.13,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Inicio de obras ,20%,0%,0%,109,1,,4.14,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Término de obras,20%,0%,0%,109,1,,4.15,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Habilitación del Centro de Salud Mental,20%,0%,0%,109,1,,4.16,4,0
20%,4. Salud,16%,"Creación de un nuevo Centro de Salud Mental con nueva infraestructura y mayor capacidad, teniendo énfasis en el tratamiento de adicciones.",Pendiente,0%,Pendiente,Inauguración,10%,0%,0%,109,1,,4.17,4,0
20%,4. Salud,16%,Reforzar el sistema de atención a personas con dependencia severa (insumos y atención psicológica a los pacientes y sus familias).,Pendiente,0%,Pendiente,Elaboración de diagnóstico de principales necesitades de personas con dependencia severa,20%,0%,0%,109,1,1,4.18,4,0
20%,4. Salud,16%,Reforzar el sistema de atención a personas con dependencia severa (insumos y atención psicológica a los pacientes y sus familias).,Pendiente,0%,Pendiente,Elaboración de proyecto considerando canasta de insumos para personas con dependencia severa,20%,0%,0%,109,1,,4.19,4,0
20%,4. Salud,16%,Reforzar el sistema de atención a personas con dependencia severa (insumos y atención psicológica a los pacientes y sus familias).,Pendiente,0%,Pendiente,Contratación de psicológos/as,20%,0%,0%,109,1,,4.20,4,0
20%,4. Salud,16%,Reforzar el sistema de atención a personas con dependencia severa (insumos y atención psicológica a los pacientes y sus familias).,Pendiente,0%,Pendiente,"Puesta en marcha, entrega de canasta de insumos y atención psicológica",20%,0%,0%,109,1,,4.21,4,0
20%,4. Salud,16%,Reforzar el sistema de atención a personas con dependencia severa (insumos y atención psicológica a los pacientes y sus familias).,Pendiente,0%,Pendiente,Evaluación del plan de mejora,20%,0%,0%,109,1,,4.22,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Realización de talleres a cuidadores de personas con dependencia severa en los Centros de Salud,10%,10%,10%,109,1,1,4.23,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Elaboración de diagnóstico para ampliar los talleres a cuidadores de personas mayores y niños/as,10%,0%,10%,109,1,,4.24,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Elaboración de proyecto de aumento de cobertura de talleres para cuidadores,20%,0%,10%,109,1,,4.25,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Planificación de talleres ,10%,0%,10%,109,1,,4.26,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Contratación de personal para impartir talleres,20%,0%,10%,109,1,,4.27,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Puesta en Marcha,20%,0%,10%,109,1,,4.28,4,0
20%,4. Salud,16%,"Impartir talleres para capacitar a cuidadores de personas mayores, con dependencia severa y niños/as.",Pendiente,10%,Pendiente,Evaluación plan de mejora,10%,0%,10%,109,1,,4.29,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Elaboración de diagnóstico,5%,5%,5%,109,1,1,4.30,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Elaboración de proyecto de Centro de Rehabilitación Física,10%,10%,15%,109,1,,4.31,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Identificación de terreno ,10%,0%,15%,109,1,,4.32,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Firma de comodato ,5%,0%,15%,109,1,,4.33,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Permiso de edificación ,10%,0%,15%,109,1,,4.34,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Licitacion de obra,10%,0%,15%,109,1,,4.35,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Adjudicación,10%,0%,15%,109,1,,4.36,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Inicio de obras,10%,0%,15%,109,1,,4.37,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Termino de obras,10%,0%,15%,109,1,,4.38,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Habilitación del Centro de rehabilitación,10%,0%,15%,109,1,,4.39,4,0
20%,4. Salud,16%,Creación de un Centro de rehabilitación física comunal.,Pendiente,15%,Pendiente,Inauguración,10%,0%,15%,109,1,,4.40,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Elaboración de diagnóstico,5%,0%,0%,109,1,1,4.41,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Elaboración de proyecto de Centro Odontológico municipal,10%,0%,0%,109,1,,4.42,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Identificación de terreno ,10%,0%,0%,109,1,,4.43,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Firma de comodato ,5%,0%,0%,109,1,,4.44,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Permiso de edificación ,10%,0%,0%,109,1,,4.45,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Licitacion de obra,10%,0%,0%,109,1,,4.46,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Adjudicación,10%,0%,0%,109,1,,4.47,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Inicio de obras,10%,0%,0%,109,1,,4.48,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Termino de obras,10%,0%,0%,109,1,,4.49,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Habilitación del Centro Odontológico,10%,0%,0%,109,1,,4.50,4,0
20%,4. Salud,16%,Creación de un Centro odontológico municipal que permita mejorar el acceso a la salud bucal.,Pendiente,0%,Pendiente,Inauguración,10%,0%,0%,109,1,,4.51,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Solicitud de recomendación técnica de ejecución al Ministerio de Desarrollo Social,10%,10%,10%,109,1,1,4.52,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Obtención de recomendación técnica de ejecución,10%,10%,20%,109,1,,4.53,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Elaboración de bases de licitación ,10%,10%,30%,109,1,,4.54,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Adjudicación,10%,0%,30%,109,1,,4.55,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Inicio de obras,20%,0%,30%,109,1,,4.56,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Término de obras ,20%,0%,30%,109,1,,4.57,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Habilitación del CESFAM ABG,10%,0%,30%,109,1,,4.58,4,0
20%,4. Salud,16%,"Reposición y relocalización de CESFAM Arturo Baeza Goñi, mejorando su infraestructura y ampliando su cobertura.",Pendiente,30%,Pendiente,Inauguración ,10%,0%,30%,109,1,,4.59,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Definición del modelo de negocio,10%,10%,10%,109,1,1,4.60,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Definición del emplazamiento del laboratorio popular,10%,10%,20%,109,1,,4.61,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Elaboración bases de licitación,10%,10%,30%,109,1,,4.62,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Adjudicación licitación,10%,10%,40%,109,1,,4.63,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Inicio de obras civiles,10%,10%,50%,109,1,,4.64,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Habilitación del espacio,10%,5%,55%,109,1,,4.65,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Puesta en marcha,30%,0%,55%,109,1,,4.66,4,0
20%,4. Salud,16%,"Puesta en marcha de un Centro de diagnóstico comunal (Laboratorio Comunal), para concentrar exámenes y procedimientos con altos estándares de calidad y un mayor acceso.",Pendiente,55%,Pendiente,Inauguración,10%,0%,55%,109,1,,4.67,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,"Desafectación del terreno donde se ubicará el Centro Comunitario de Salud Familiar ""Yalta"".",5%,5%,5%,109,1,1,4.68,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Inscripción del terreno en conservador de bienes nacionales,5%,5%,10%,109,1,,4.69,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Firma del comodato  y permiso de edificación del CECOSF Yalta,10%,10%,20%,109,1,,4.70,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Ejecución de obras para CECOSF Yalta,10%,5%,25%,109,1,,4.71,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,"Habilitación de los CECOSF Yalta, Schubert y Salvador Allende",20%,0%,25%,109,1,,4.72,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Implementación CECOSF Yalta,15%,0%,25%,109,1,,4.73,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Implementación CECOSF Schubert,20%,0%,25%,109,1,,4.74,4,0
20%,4. Salud,16%,"Construcción e implementación de Cecosf Yalta, Schubert y ampliación de Cecosf Salvador Allende.",Pendiente,25%,Pendiente,Ampliación CECOSF Salvador Allende,15%,0%,25%,109,1,,4.75,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Implementación del sistema de entrega de horas Telesalud,10%,10%,10%,109,1,1,4.76,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Implementación de horario preferente a personas mayores y en situación de discapacidad en todos los centros de salud,10%,10%,20%,109,1,,4.77,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Elaboración de proyecto turnomático para entrega de horas,10%,10%,30%,109,1,,4.78,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Elaboración y adjudicación de licitacion,20%,0%,30%,109,1,,4.79,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Definición de contrato prestador de servicios,10%,0%,30%,109,1,,4.80,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Instalación de los Totem turnomático,10%,0%,30%,109,1,,4.81,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Estrategia comunicacional ,10%,0%,30%,109,1,,4.82,4,0
20%,4. Salud,16%,"Reforzar el sistema de entrega de horas en los centros de atención primaria para facilitar el acceso, con foco en la atención preferente de personas mayores y personas en situación de discapacidad.",Pendiente,30%,Pendiente,Lanzamiento de proyecto de sistema de entrega de horas,20%,0%,30%,109,1,,4.83,4,0
20%,4. Salud,16%,Crear un sistema de traslado de personas al hospital Barros Luco.,Pendiente,0%,Pendiente,Pendiente,100%,0%,0%,109,1,1,4.84,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Establecer los lineamientos para la infraestructura y equipamiento requerido para la atención podológica.,2%,2%,2%,109,1,1,4.85,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,"Etapa de Diseño: estudio de pre inversión, Términos de Referencia e ingreso al Banco Integrado de Proyectos.",10%,8%,10%,109,1,,4.86,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Obtención de visación institucional de SENAMA.,3%,2%,12%,109,1,,4.87,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Traspaso de terreno a Dominio Municipal.,5%,4%,16%,109,1,,4.88,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Etapa de Diseño: Ingreso a Gobierno Regional y al Sistema Nacional de Inversiones. ,2%,1%,17%,109,1,,4.89,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Revisión del Ministerio de Desarrollo Social y corrección de observaciones.,10%,10%,27%,109,1,,4.90,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Asignación de recursos para la Etapa de Diseño.,5%,0%,27%,109,1,,4.91,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,"Etapa de Diseño: elaboración, publicación y adjudicación de licitación para la Consultoría.",7%,0%,27%,109,1,,4.92,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,"Desarrollar Consultoría de Diseño: Topografía, mecánica de suelos, arquitectura, ingeniería, y especialidades.",10%,0%,27%,109,1,,4.93,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,"Etapa de Ejecución: estudio de pre inversión, ingreso a Gobierno Regional y al Sistema Nacional de Inversiones",7%,0%,27%,109,1,,4.94,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Revisión del Ministerio de Desarrollo Social y corrección de observaciones.,10%,0%,27%,109,1,,4.95,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Asignación de recursos para la Etapa de Ejecución.,10%,0%,27%,109,1,,4.96,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,"Etapa de Ejecución: elaboración , publicación y adjudicación de licitación para la Construcción del proyecto",4%,0%,27%,109,1,,4.97,4,0
20%,4. Salud,16%,Construcción de un Centro de atención podológica en la zona norte.,Pendiente,27%,Pendiente,Construcción y habilitación del Centro de Atención Podológica,15%,0%,27%,109,1,,4.98,4,0
20%,5. Inclusión y Discapacidad,26%,Campañas de información y formación inclusiva.,Pendiente,35%,Pendiente,"Capacitar a los funcionarios/as municipales y prestadores de servicios en atención inclusiva en todos los ámbitos, disminuyendo las barreras físicas, arquitectónicas, comunicacionales y actitudinales. ",30%,10%,10%,109,1,1,5.1,5,0
20%,5. Inclusión y Discapacidad,26%,Campañas de información y formación inclusiva.,Pendiente,35%,Pendiente,"Promover accesibilidad en las redes sociales municipales a través de la lengua de señas en vídeos, publicaciones, transmisiones, etc. ",30%,10%,20%,109,1,,5.2,5,0
20%,5. Inclusión y Discapacidad,26%,Campañas de información y formación inclusiva.,Pendiente,35%,Pendiente,"Promover instancias de participación territorial y comunitaria en las que se eduque a la comunidad, a través de charlas realizadas en organizaciones y grupos de vecinos no formalizados.  ",30%,15%,35%,109,1,,5.3,5,0
